player,maps,map_wins,map_win_rate,matches,match_wins,match_win_rate
ChipSa,1,1,1,1,1,1
Onlywish,2,2,1,2,2,1
Rise,2,2,1,2,2,1
Snow,1,1,1,1,1,1
iddqd,1,1,1,1,1,1
D0NGHAK,22,19,0.863636364,10,10,1
Patiphan,59,45,0.762711864,20,18,0.9
BUMPER,153,113,0.738562092,36,31,0.861111111
LeeJaegon,79,58,0.734177215,21,18,0.857142857
ChiYo,188,135,0.718085106,51,43,0.843137255
Stalk3r,93,67,0.720430108,31,25,0.806451613
ANS,145,98,0.675862069,60,48,0.8
Viol2t,629,431,0.685214626,156,122,0.782051282
LIP,400,280,0.7,110,86,0.781818182
Kilo,93,60,0.64516129,36,28,0.777777778
Fielder,417,270,0.647482014,107,83,0.775700935
Choihyobin,442,308,0.696832579,110,85,0.772727273
Haksal,231,153,0.662337662,56,43,0.767857143
SeoMinSoo,165,114,0.690909091,45,34,0.755555556
smurf,365,243,0.665753425,121,91,0.752066116
TiZi,23,12,0.52173913,4,3,0.75
LeeJaeGon,323,212,0.656346749,89,66,0.741573034
Pine,69,53,0.768115942,38,28,0.736842105
Reiner,128,86,0.671875,34,25,0.735294118
NLaaeR,26,17,0.653846154,15,11,0.733333333
moth,417,282,0.676258993,111,81,0.72972973
Rascal,289,199,0.688581315,96,70,0.729166667
super,323,219,0.678018576,101,73,0.722772277
skewed,192,125,0.651041667,68,49,0.720588235
SAEBYEOLBE,291,183,0.628865979,81,58,0.716049383
Libero,368,230,0.625,100,71,0.71
WhoRu,85,57,0.670588235,31,22,0.709677419
SP9RK1E,362,219,0.604972376,96,68,0.708333333
STRIKER,402,247,0.614427861,111,78,0.702702703
Void,491,310,0.631364562,143,100,0.699300699
sinatraa,228,157,0.688596491,66,46,0.696969697
FunnyAstro,274,180,0.656934307,92,64,0.695652174
Twilight,452,275,0.60840708,126,87,0.69047619
Hanbin,401,239,0.596009975,106,73,0.688679245
Coluge,171,105,0.614035088,51,35,0.68627451
FiNN,215,127,0.590697674,54,37,0.685185185
Proper,215,127,0.590697674,54,37,0.685185185
Hooreg,66,43,0.651515152,22,15,0.681818182
Mano,503,306,0.608349901,137,93,0.678832117
Alarm,221,136,0.615384615,56,38,0.678571429
JJANU,258,156,0.604651163,65,44,0.676923077
Nenne,177,112,0.632768362,49,33,0.673469388
ta1yo,7,5,0.714285714,3,2,0.666666667
silkthread,32,22,0.6875,18,12,0.666666667
guriyo,24,13,0.541666667,15,10,0.666666667
mikeyy,41,22,0.536585366,21,14,0.666666667
DPI,4,2,0.5,3,2,0.666666667
